Vakances_Nr,Aktualizacijas_datums,Iestades_registracijas_numurs,Vakances_nosaukums,Vakances_kategorija,Alga_no,Alga_lidz,Slodzes_tips,Darba_laika_veids,Darba_stundas_nedela,Pieteiksanas_termins,Attels,Vieta,Vakances_paplasinats_apraksts
260105-239,2026-01-05,90000013926,MĀSA/ vispārējās aprūpes MĀSA,Veselības aprūpe / Sociālā aprūpe,1495.000,1495.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-31,"","Slimnīcas iela 25, Liepāja",https://cvvp.nva.gov.lv/#/pub/vakances/437748021
260107-78,2026-01-07,90000013926,ĀRSTS,Veselības aprūpe / Sociālā aprūpe,1840.000,1940.000,Viena vesela slodze,"","",2026-01-30,"","Sēlpils iela 9, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438001185
260113-92,2026-01-13,90000013926,MĀSA/ vispārējās aprūpes MĀSA,Veselības aprūpe / Sociālā aprūpe,747.500,747.500,Nepilna slodze,Nepilnais darba laiks,"",2026-01-31,"","Slimnīcas iela 25, Liepāja",https://cvvp.nva.gov.lv/#/pub/vakances/438650699
260106-234,2026-01-06,90000013926,ĀRSTA PALĪGS/ FELDŠERIS,Veselības aprūpe / Sociālā aprūpe,1771.000,1771.000,Viena vesela slodze,"","",2026-01-30,"","Sēlpils iela 9, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/437916434
260107-109,2026-01-07,90000013926,MĀSAS PALĪGS,Veselības aprūpe / Sociālā aprūpe,1220.000,1220.000,Viena vesela slodze,"","",2026-01-30,"","Sēlpils iela 9, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438023422
260115-84,2026-01-15,90000013926,SANITĀRS,Veselības aprūpe / Sociālā aprūpe,834.000,834.000,Viena vesela slodze,"","",2026-01-30,"","Sēlpils iela 9, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438936754
260105-66,2026-01-05,90009756700,JURISKONSULTS,Valsts pārvalde,1572.000,1800.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-18,"","Duntes iela 22 k-5, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/437656730
260112-89,2026-01-12,90009235333,VECĀKAIS EKSPERTS,Lauksaimniecība / Vide,1500.000,1700.000,Viena vesela slodze,"","",2026-04-08,"","Lejupes iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438503211
260108-115,2026-01-08,90000056484,BŪVINSPEKTORA PALĪGS,Valsts pārvalde,1500.000,1500.000,Viena vesela slodze,Normālais darba laiks,40,2026-02-01,"","Dzirnavu iela 140, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438199833
251217-41,2025-12-17,90000056484,PROJEKTA VADĪTĀJS,Valsts pārvalde,1800.000,1800.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-19,"","Dzirnavu iela 140, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/436810363
